call,err_call,put,err_put
14.8834,0,5.44506,0
14.8548,0.0202048,5.45756,0.00883736
14.8586,0.0138244,5.46924,0.0112084
14.8634,0.0111536,5.47519,0.0098587
14.9073,0.040308,5.4697,0.00928931
14.8993,0.0343775,5.4757,0.00948545
14.9013,0.0295234,5.47861,0.00856251
14.9163,0.0294017,5.46936,0.0114403
14.9079,0.0273245,5.46875,0.0101857
14.9159,0.0257568,5.47034,0.00929042
14.9206,0.023837,5.47313,0.0088552
14.9211,0.0218551,5.47001,0.00864813
14.9349,0.024134,5.46956,0.00799496
14.9314,0.0226529,5.47051,0.00748086
14.9325,0.0211702,5.47003,0.00699772
14.9348,0.019966,5.46992,0.0065612
